"Active Licenses","Permit Number","BAN","Permit Status","POE Class Code","License Type","DBA Name","Street Address","City","State","Point","analysis_neighborhood","supervisor_district","police_district","data_as_of","data_loaded_at"
"POE","003","455014","Active","P23","Place of Entertainment","111 Minna Gallery","111 MINNA ST","San Francisco","CA","POINT (-122.399379 37.787301)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","009","0381286","Active",,,"SOMArts Cultural Center","934 BRANNAN ST","San Francisco","CA","POINT (-122.406588 37.771182)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","015","0338153","Active","P23","Place of Entertainment","The Chieftain Irish Pub","198 5TH ST","San Francisco","CA","POINT (-122.4052605 37.781469)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"BP","021","0487508","Active",,,"O'Keefe's Bar","598 5TH AVE","San Francisco","CA","POINT (-122.4628155 37.777419)","Inner Richmond","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","023","0391602","Active","P23","Place of Entertainment","Bayview Opera House","4705 3RD ST","San Francisco","CA","POINT (-122.3901855 37.735011)","Bayview Hunters Point","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"MAD, BP","029","0947336","Active",,,"HAWAII WEST","720 VALLEJO ST","San Francisco","CA","POINT (-122.409127442 37.798568723)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","036","484971","Active","P23","Place of Entertainment","Blondie's Bar","540 VALENCIA ST","San Francisco","CA","POINT (-122.422131 37.764207)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"BP","037","0380691","Active",,,"Latin American Club","3286 22ND ST","San Francisco","CA","POINT (-122.4207 37.755486)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","048","1010655","Active","P23","Place of Entertainment","Punch Line Comedy Club","444 BATTERY ST","San Francisco","CA","POINT (-122.400372264 37.795348257)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","051","0951023","Active","P23","Place of Entertainment","MARTUNI'S","4 VALENCIA ST","San Francisco","CA","POINT (-122.4226935 37.772307)","Mission","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","052","0368985","Active","P23","Place of Entertainment","La Terra","511 HARRISON ST","San Francisco","CA","POINT (-122.3930205 37.785501)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"MAD","066","0329482","Active",,,"ROUND TABLE PIZZA","2660 SAN BRUNO AVE","San Francisco","CA","POINT (-122.4041085 37.727946)","Portola","9","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
