"RESPNUM","CCGID","RUNID","AREA","DAY","DATE","METH","Q1","Q2A","Q2B","Q2C","Q2D","Q2E","Q2F","Q2G","Q2H","Q2I","Q2J","Q2K","Q2L","Q3","Q4_1","Q4_2","Q4_3","Q5","Q6","Q7","Q8","Q8COUNTRY","Q9","Q10","LANG","Q3A_VERBATIM","Q3A1","Q3A2","Q3A3"
"835","529","5X","D","WED","2019 Oct 02 12:00:00 AM","1","1","5","5","5","5","5","5","4","6","6","5","3","5","5","2",,,"5","1","3","3",,"4","2","1","NICE STAFF","2",,
"837","530","5X","D","WED","2019 Oct 02 12:00:00 AM","1","1","5","5","5","5","5","4","3","4","3","0","5","5","5","4",,,"5","2","5","1",,"2","1","1",,"0",,
"838","531","5X","D","WED","2019 Oct 02 12:00:00 AM","1","1","4","4","4","4","5","5","2","4","4","2","5","4","4","2","4",,"5","1","4","3",,"2","1","1","CLEANLINESS.","1",,
"843","532","5X","D","WED","2019 Oct 02 12:00:00 AM","1","1","6","5","4","5","4","4","6","0","0","5","4","3","4","1",,,"4","2","2","1",,"3","2","1",,"0",,
"844","533","5X","D","WED","2019 Oct 02 12:00:00 AM","1","1","5","5","5","5","5","5","5","5","6","4","5","4","5","2",,,"5","1","2","3",,"4","1","1","EVERYTHING WAS SMOOTH.","1",,
"845","534","5X","D","WED","2019 Oct 02 12:00:00 AM","1","1","5","5","5","5","5","5","4","3","0","4","5","4","4","2",,,"1","1","1","3",,"4","2","1",,"0",,
"848","492","4X","D","WED","2019 Oct 02 12:00:00 AM","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","1",,,"5","3","1","3",,"2","1","1",,"0",,
"849","493","4X","D","WED","2019 Oct 02 12:00:00 AM","1","1","4","4","4","4","4","3","4","4","4","4","4","6","4","4",,,"5","1","4","3",,"4","2","1","COULD HAVE BETTER TSA/CLEAR PATHS.","4",,
"850","494","4X","D","WED","2019 Oct 02 12:00:00 AM","1","1","5","5","5","5","4","5","3","3","6","0","5","2","4","1",,,"5","2","4","3",,"2","1","1","NOT DISORGANIZED, BUT SIGNAGE FOR DIRECTIONS COULD BE MORE CLEAR. FRIENDLY STAFF.","7","2",
"851","495","4X","D","WED","2019 Oct 02 12:00:00 AM","1","1","3","4","3","3","3","3","4","3","3","1","2","1","3","6",,,"3","2","1","4","UNITED KINGDOM","2","1","1","YOU GUYS NEED SPACE AFTER SECURITY. THERE'S NO ROOM TO PUT YOUR SHOES BACK ON.","5",,
